pilot_rank,stable_source_image_id,split,sequence_id,image_path,mask_path,annotation_status,selection_strata,component_count,big_rock_pixel_count,bedrock_adjacent_pixels,geometry_status,selection_seed,selection_rationale
1,NLB_485122672EDR_F0480458NCAM12753M1,train,F0480458NCAM12753M1,msl/ncam/images/edr/NLB_485122672EDR_F0480458NCAM12753M1.JPG,msl/ncam/labels/train/NLB_485122672EDR_F0480458NCAM12753M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,36,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
16,NLB_557555419EDR_F0652882NCAM00296M1,train,F0652882NCAM00296M1,msl/ncam/images/edr/NLB_557555419EDR_F0652882NCAM00296M1.JPG,msl/ncam/labels/train/NLB_557555419EDR_F0652882NCAM00296M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,1,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
17,NLB_463190860EDR_F0410838NCAM00350M1,val,F0410838NCAM00350M1,msl/ncam/images/edr/NLB_463190860EDR_F0410838NCAM00350M1.JPG,msl/ncam/labels/train/NLB_463190860EDR_F0410838NCAM00350M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,34,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
18,NLB_482013579EDR_F0460000NCAM05113M1,train,F0460000NCAM05113M1,msl/ncam/images/edr/NLB_482013579EDR_F0460000NCAM05113M1.JPG,msl/ncam/labels/train/NLB_482013579EDR_F0460000NCAM05113M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,2,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
19,NLB_519032073EDR_F0542508NCAM00287M1,train,F0542508NCAM00287M1,msl/ncam/images/edr/NLB_519032073EDR_F0542508NCAM00287M1.JPG,msl/ncam/labels/train/NLB_519032073EDR_F0542508NCAM00287M1.png,candidate_unreviewed,isolated_candidate|bedrock_big_rock_boundary|rgb_only_or_geometry_unresolved,1,35956,3,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
20,NLB_495506569EDR_F0500000NCAM00273M1,val,F0500000NCAM00273M1,msl/ncam/images/edr/NLB_495506569EDR_F0500000NCAM00273M1.JPG,msl/ncam/labels/train/NLB_495506569EDR_F0500000NCAM00273M1.png,candidate_unreviewed,isolated_candidate|bedrock_big_rock_boundary|rgb_only_or_geometry_unresolved,1,3337,9,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
21,NLB_508376918EDR_F0522262NCAM00283M1,val,F0522262NCAM00283M1,msl/ncam/images/edr/NLB_508376918EDR_F0522262NCAM00283M1.JPG,msl/ncam/labels/train/NLB_508376918EDR_F0522262NCAM00283M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,7,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
22,NLB_536794099EDR_F0593016NCAM00207M1,train,F0593016NCAM00207M1,msl/ncam/images/edr/NLB_536794099EDR_F0593016NCAM00207M1.JPG,msl/ncam/labels/train/NLB_536794099EDR_F0593016NCAM00207M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,27,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
23,NLB_451922085EDR_F0311330NCAM00364M1,val,F0311330NCAM00364M1,msl/ncam/images/edr/NLB_451922085EDR_F0311330NCAM00364M1.JPG,msl/ncam/labels/train/NLB_451922085EDR_F0311330NCAM00364M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,6,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
24,NLB_500298474EDR_F0502396NCAM00385M1,train,F0502396NCAM00385M1,msl/ncam/images/edr/NLB_500298474EDR_F0502396NCAM00385M1.JPG,msl/ncam/labels/train/NLB_500298474EDR_F0502396NCAM00385M1.png,candidate_unreviewed,isolated_candidate|bedrock_big_rock_boundary|rgb_only_or_geometry_unresolved,1,2833,1,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
25,NLB_517962306EDR_F0542280NCAM07753M1,train,F0542280NCAM07753M1,msl/ncam/images/edr/NLB_517962306EDR_F0542280NCAM07753M1.JPG,msl/ncam/labels/train/NLB_517962306EDR_F0542280NCAM07753M1.png,candidate_unreviewed,isolated_candidate|bedrock_big_rock_boundary|rgb_only_or_geometry_unresolved,1,35534,3,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
26,NLB_460085123EDR_F0400000NCAM00353M1,train,F0400000NCAM00353M1,msl/ncam/images/edr/NLB_460085123EDR_F0400000NCAM00353M1.JPG,msl/ncam/labels/train/NLB_460085123EDR_F0400000NCAM00353M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,1,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
27,NLB_517960514EDR_F0542262NCAM00285M1,train,F0542262NCAM00285M1,msl/ncam/images/edr/NLB_517960514EDR_F0542262NCAM00285M1.JPG,msl/ncam/labels/train/NLB_517960514EDR_F0542262NCAM00285M1.png,candidate_unreviewed,isolated_candidate|bedrock_big_rock_boundary|rgb_only_or_geometry_unresolved,1,3837,1,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
28,NLB_551440780EDR_F0640996NCAM07753M1,train,F0640996NCAM07753M1,msl/ncam/images/edr/NLB_551440780EDR_F0640996NCAM07753M1.JPG,msl/ncam/labels/train/NLB_551440780EDR_F0640996NCAM07753M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,22,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
29,NLB_511929687EDR_F0532138NCAM07753M1,train,F0532138NCAM07753M1,msl/ncam/images/edr/NLB_511929687EDR_F0532138NCAM07753M1.JPG,msl/ncam/labels/train/NLB_511929687EDR_F0532138NCAM07753M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,22,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
30,NLA_411521115EDR_F0051954NCAM00320M1,val,F0051954NCAM00320M1,msl/ncam/images/edr/NLA_411521115EDR_F0051954NCAM00320M1.JPG,msl/ncam/labels/train/NLA_411521115EDR_F0051954NCAM00320M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,20,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
31,NLB_543533452EDR_F0613226NCAM00312M1,train,F0613226NCAM00312M1,msl/ncam/images/edr/NLB_543533452EDR_F0613226NCAM00312M1.JPG,msl/ncam/labels/train/NLB_543533452EDR_F0613226NCAM00312M1.png,candidate_unreviewed,multiple_candidate_regions|border_truncation_candidate|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,22,89281,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
32,NLB_512730161EDR_F0532980NCAM00265M1,train,F0532980NCAM00265M1,msl/ncam/images/edr/NLB_512730161EDR_F0532980NCAM00265M1.JPG,msl/ncam/labels/train/NLB_512730161EDR_F0532980NCAM00265M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,3,101099,2,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
33,NLB_550103482EDR_F0632672NCAM07753M1,train,F0632672NCAM07753M1,msl/ncam/images/edr/NLB_550103482EDR_F0632672NCAM07753M1.JPG,msl/ncam/labels/train/NLB_550103482EDR_F0632672NCAM07753M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,21,129285,1,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
34,NLB_463551084EDR_F0411534NCAM00385M1,train,F0411534NCAM00385M1,msl/ncam/images/edr/NLB_463551084EDR_F0411534NCAM00385M1.JPG,msl/ncam/labels/train/NLB_463551084EDR_F0411534NCAM00385M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,116889,19,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
35,NLB_547531945EDR_F0630000NCAM07753M1,train,F0630000NCAM07753M1,msl/ncam/images/edr/NLB_547531945EDR_F0630000NCAM07753M1.JPG,msl/ncam/labels/train/NLB_547531945EDR_F0630000NCAM07753M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,10,125313,8,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
36,NLB_526667286EDR_F0572798NCAM07753M1,train,F0572798NCAM07753M1,msl/ncam/images/edr/NLB_526667286EDR_F0572798NCAM07753M1.JPG,msl/ncam/labels/train/NLB_526667286EDR_F0572798NCAM07753M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,14,192048,8,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
37,NLB_582507925EDR_F0710000NCAM00267M1,train,F0710000NCAM00267M1,msl/ncam/images/edr/NLB_582507925EDR_F0710000NCAM00267M1.JPG,msl/ncam/labels/train/NLB_582507925EDR_F0710000NCAM00267M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,54558,1,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
38,NLB_483955685EDR_F0470598NCAM00320M1,train,F0470598NCAM00320M1,msl/ncam/images/edr/NLB_483955685EDR_F0470598NCAM00320M1.JPG,msl/ncam/labels/train/NLB_483955685EDR_F0470598NCAM00320M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,12,92889,1,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
39,NLB_489995169EDR_F0482118NCAM00249M1,train,F0482118NCAM00249M1,msl/ncam/images/edr/NLB_489995169EDR_F0482118NCAM00249M1.JPG,msl/ncam/labels/train/NLB_489995169EDR_F0482118NCAM00249M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,64043,1,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
40,NLB_471625465EDR_F0442336NCAM00261M1,val,F0442336NCAM00261M1,msl/ncam/images/edr/NLB_471625465EDR_F0442336NCAM00261M1.JPG,msl/ncam/labels/train/NLB_471625465EDR_F0442336NCAM00261M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,7,103523,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
41,NLB_548252623EDR_F0631150NCAM00312M1,train,F0631150NCAM00312M1,msl/ncam/images/edr/NLB_548252623EDR_F0631150NCAM00312M1.JPG,msl/ncam/labels/train/NLB_548252623EDR_F0631150NCAM00312M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,14,61338,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
42,NLB_490361091EDR_F0482224NCAM00355M1,train,F0482224NCAM00355M1,msl/ncam/images/edr/NLB_490361091EDR_F0482224NCAM00355M1.JPG,msl/ncam/labels/train/NLB_490361091EDR_F0482224NCAM00355M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,199730,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
43,NLB_444368643EDR_F0260168NCAM00253M1,train,F0260168NCAM00253M1,msl/ncam/images/edr/NLB_444368643EDR_F0260168NCAM00253M1.JPG,msl/ncam/labels/train/NLB_444368643EDR_F0260168NCAM00253M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,6,101451,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
44,NLB_449076088EDR_F0300786NCAM00256M1,train,F0300786NCAM00256M1,msl/ncam/images/edr/NLB_449076088EDR_F0300786NCAM00256M1.JPG,msl/ncam/labels/train/NLB_449076088EDR_F0300786NCAM00256M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,61128,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
45,NLB_444808777EDR_F0260292NCAM00258M1,train,F0260292NCAM00258M1,msl/ncam/images/edr/NLB_444808777EDR_F0260292NCAM00258M1.JPG,msl/ncam/labels/train/NLB_444808777EDR_F0260292NCAM00258M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,11,337399,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
46,NLB_446501152EDR_F0280000NCAM00279M1,train,F0280000NCAM00279M1,msl/ncam/images/edr/NLB_446501152EDR_F0280000NCAM00279M1.JPG,msl/ncam/labels/train/NLB_446501152EDR_F0280000NCAM00279M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,171742,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
47,NLB_463898490EDR_F0420186NCAM00280M1,train,F0420186NCAM00280M1,msl/ncam/images/edr/NLB_463898490EDR_F0420186NCAM00280M1.JPG,msl/ncam/labels/train/NLB_463898490EDR_F0420186NCAM00280M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,3,155358,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
48,NLB_489385753EDR_F0481906NCAM07753M1,train,F0481906NCAM07753M1,msl/ncam/images/edr/NLB_489385753EDR_F0481906NCAM07753M1.JPG,msl/ncam/labels/train/NLB_489385753EDR_F0481906NCAM07753M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,217738,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
49,NLB_583208586EDR_F0710570NCAM00278M1,train,F0710570NCAM00278M1,msl/ncam/images/edr/NLB_583208586EDR_F0710570NCAM00278M1.JPG,msl/ncam/labels/train/NLB_583208586EDR_F0710570NCAM00278M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,10,85916,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
50,NLB_549044161EDR_F0631840CCAM15903M1,val,NLB_549044161EDR_F0631840CCAM15903M1,msl/ncam/images/edr/NLB_549044161EDR_F0631840CCAM15903M1.JPG,msl/ncam/labels/train/NLB_549044161EDR_F0631840CCAM15903M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,3,248597,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
51,NLB_548249342EDR_F0631150NCAM00274M1,train,F0631150NCAM00274M1,msl/ncam/images/edr/NLB_548249342EDR_F0631150NCAM00274M1.JPG,msl/ncam/labels/train/NLB_548249342EDR_F0631150NCAM00274M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,5,61342,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
52,NLB_519033092EDR_F0542508NCAM07753M1,train,F0542508NCAM07753M1,msl/ncam/images/edr/NLB_519033092EDR_F0542508NCAM07753M1.JPG,msl/ncam/labels/train/NLB_519033092EDR_F0542508NCAM07753M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,82986,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
53,NLB_512995340EDR_F0540000NCAM07753M1,train,F0540000NCAM07753M1,msl/ncam/images/edr/NLB_512995340EDR_F0540000NCAM07753M1.JPG,msl/ncam/labels/train/NLB_512995340EDR_F0540000NCAM07753M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,3,121848,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
54,NLB_542390881EDR_F0611908NCAM00354M1,val,F0611908NCAM00354M1,msl/ncam/images/edr/NLB_542390881EDR_F0611908NCAM00354M1.JPG,msl/ncam/labels/train/NLB_542390881EDR_F0611908NCAM00354M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,5,284952,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
55,NLB_529502583EDR_F0581950NCAM00385M1,train,F0581950NCAM00385M1,msl/ncam/images/edr/NLB_529502583EDR_F0581950NCAM00385M1.JPG,msl/ncam/labels/train/NLB_529502583EDR_F0581950NCAM00385M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,62342,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
56,NLB_510778866EDR_F0531182NCAM00299M1,train,F0531182NCAM00299M1,msl/ncam/images/edr/NLB_510778866EDR_F0531182NCAM00299M1.JPG,msl/ncam/labels/train/NLB_510778866EDR_F0531182NCAM00299M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,11,110644,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
57,NLB_490974656EDR_F0482518NCAM00353M1,train,F0482518NCAM00353M1,msl/ncam/images/edr/NLB_490974656EDR_F0482518NCAM00353M1.JPG,msl/ncam/labels/train/NLB_490974656EDR_F0482518NCAM00353M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,3,113270,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
58,NLB_545586860EDR_F0620786NCAM00207M1,val,F0620786NCAM00207M1,msl/ncam/images/edr/NLB_545586860EDR_F0620786NCAM00207M1.JPG,msl/ncam/labels/train/NLB_545586860EDR_F0620786NCAM00207M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,7,85777,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
59,NLB_512192902EDR_F0532406NCAM00354M1,train,F0532406NCAM00354M1,msl/ncam/images/edr/NLB_512192902EDR_F0532406NCAM00354M1.JPG,msl/ncam/labels/train/NLB_512192902EDR_F0532406NCAM00354M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,3,101099,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
60,NLB_499861525EDR_F0501624NCAM00292M1,train,F0501624NCAM00292M1,msl/ncam/images/edr/NLB_499861525EDR_F0501624NCAM00292M1.JPG,msl/ncam/labels/train/NLB_499861525EDR_F0501624NCAM00292M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,3,103111,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
61,NLB_471806967EDR_F0442414NCAM00262M1,val,F0442414NCAM00262M1,msl/ncam/images/edr/NLB_471806967EDR_F0442414NCAM00262M1.JPG,msl/ncam/labels/train/NLB_471806967EDR_F0442414NCAM00262M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,15,75351,1,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
