split,stable_source_image_id,sequence_id,image_path,mask_path,component_id,area_pixels,bbox_left,bbox_top,bbox_width,bbox_height,centroid_x,centroid_y,aspect_ratio,border_touching,tiny_component,very_large_component,unusual_aspect_ratio
train,NLA_402468425EDR_F0043474NCAM00317M1,F0043474NCAM00317M1,msl/ncam/images/edr/NLA_402468425EDR_F0043474NCAM00317M1.JPG,msl/ncam/labels/train/NLA_402468425EDR_F0043474NCAM00317M1.png,1,141,235,13,62,3,261.397163,14.212766,20.666667,False,False,False,True
train,NLA_402468425EDR_F0043474NCAM00317M1,F0043474NCAM00317M1,msl/ncam/images/edr/NLA_402468425EDR_F0043474NCAM00317M1.JPG,msl/ncam/labels/train/NLA_402468425EDR_F0043474NCAM00317M1.png,2,79,306,19,30,6,319.911392,22.126582,5.0,False,False,False,True
train,NLA_402562623EDR_F0050000NCAM00445M1,F0050000NCAM00445M1,msl/ncam/images/edr/NLA_402562623EDR_F0050000NCAM00445M1.JPG,msl/ncam/labels/train/NLA_402562623EDR_F0050000NCAM00445M1.png,1,752,344,547,56,74,365.035904,582.06117,0.756757,False,False,False,False
train,NLA_402562623EDR_F0050000NCAM00445M1,F0050000NCAM00445M1,msl/ncam/images/edr/NLA_402562623EDR_F0050000NCAM00445M1.JPG,msl/ncam/labels/train/NLA_402562623EDR_F0050000NCAM00445M1.png,2,26334,302,697,205,214,407.197995,806.853611,0.957944,False,False,False,False
train,NLA_402562693EDR_F0050000NCAM00445M1,F0050000NCAM00445M1,msl/ncam/images/edr/NLA_402562693EDR_F0050000NCAM00445M1.JPG,msl/ncam/labels/train/NLA_402562693EDR_F0050000NCAM00445M1.png,1,74634,502,401,492,236,753.248533,523.785835,2.084746,False,False,True,False
train,NLA_402562728EDR_F0050000NCAM00445M1,F0050000NCAM00445M1,msl/ncam/images/edr/NLA_402562728EDR_F0050000NCAM00445M1.JPG,msl/ncam/labels/train/NLA_402562728EDR_F0050000NCAM00445M1.png,1,1,776,413,1,1,776.0,413.0,1.0,False,True,False,False
train,NLA_402562728EDR_F0050000NCAM00445M1,F0050000NCAM00445M1,msl/ncam/images/edr/NLA_402562728EDR_F0050000NCAM00445M1.JPG,msl/ncam/labels/train/NLA_402562728EDR_F0050000NCAM00445M1.png,2,1503,529,457,144,29,595.431138,469.952761,4.965517,False,False,False,True
train,NLA_402562756EDR_F0050000NCAM00445M1,F0050000NCAM00445M1,msl/ncam/images/edr/NLA_402562756EDR_F0050000NCAM00445M1.JPG,msl/ncam/labels/train/NLA_402562756EDR_F0050000NCAM00445M1.png,1,30467,492,387,256,159,639.021761,467.491811,1.610063,False,False,False,False
train,NLA_402562756EDR_F0050000NCAM00445M1,F0050000NCAM00445M1,msl/ncam/images/edr/NLA_402562756EDR_F0050000NCAM00445M1.JPG,msl/ncam/labels/train/NLA_402562756EDR_F0050000NCAM00445M1.png,2,7692,7,414,110,87,57.834373,456.269501,1.264368,False,False,False,False
train,NLA_402562784EDR_F0050000NCAM00445M1,F0050000NCAM00445M1,msl/ncam/images/edr/NLA_402562784EDR_F0050000NCAM00445M1.JPG,msl/ncam/labels/train/NLA_402562784EDR_F0050000NCAM00445M1.png,1,7730,12,431,82,150,41.434411,500.645278,0.546667,False,False,False,False
train,NLA_402562784EDR_F0050000NCAM00445M1,F0050000NCAM00445M1,msl/ncam/images/edr/NLA_402562784EDR_F0050000NCAM00445M1.JPG,msl/ncam/labels/train/NLA_402562784EDR_F0050000NCAM00445M1.png,2,1744,396,436,110,45,451.204128,457.465596,2.444444,False,False,False,False
train,NLA_403797481EDR_F0050104NCAM00322M1,F0050104NCAM00322M1,msl/ncam/images/edr/NLA_403797481EDR_F0050104NCAM00322M1.JPG,msl/ncam/labels/train/NLA_403797481EDR_F0050104NCAM00322M1.png,1,1453,252,357,113,89,327.266345,388.893324,1.269663,False,False,False,False
train,NLA_403797481EDR_F0050104NCAM00322M1,F0050104NCAM00322M1,msl/ncam/images/edr/NLA_403797481EDR_F0050104NCAM00322M1.JPG,msl/ncam/labels/train/NLA_403797481EDR_F0050104NCAM00322M1.png,2,10,219,645,8,2,222.1,645.7,4.0,False,True,False,True
train,NLA_403797481EDR_F0050104NCAM00322M1,F0050104NCAM00322M1,msl/ncam/images/edr/NLA_403797481EDR_F0050104NCAM00322M1.JPG,msl/ncam/labels/train/NLA_403797481EDR_F0050104NCAM00322M1.png,3,5,264,644,3,2,265.2,644.6,1.5,False,True,False,False
train,NLA_402816651EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_402816651EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_402816651EDR_F0050104NCAM00323M1.png,1,435,221,35,51,16,250.445977,44.310345,3.1875,False,False,False,False
train,NLA_402816651EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_402816651EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_402816651EDR_F0050104NCAM00323M1.png,2,13,209,75,10,3,213.153846,76.538462,3.333333,False,True,False,False
train,NLA_402816651EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_402816651EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_402816651EDR_F0050104NCAM00323M1.png,3,1173,422,282,55,50,445.396419,302.42711,1.1,False,False,False,False
train,NLA_402816651EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_402816651EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_402816651EDR_F0050104NCAM00323M1.png,4,3,423,357,3,1,424.0,357.0,3.0,False,True,False,False
train,NLA_402816651EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_402816651EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_402816651EDR_F0050104NCAM00323M1.png,5,16,427,358,14,2,433.375,358.125,7.0,False,True,False,True
train,NLA_402816651EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_402816651EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_402816651EDR_F0050104NCAM00323M1.png,6,6423,11,428,111,114,48.475634,491.976646,0.973684,False,False,False,False
train,NLA_403797677EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_403797677EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_403797677EDR_F0050104NCAM00323M1.png,1,4064,419,287,70,79,455.471949,321.396161,0.886076,False,False,False,False
train,NLA_403797677EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_403797677EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_403797677EDR_F0050104NCAM00323M1.png,2,6273,12,444,97,95,51.031086,495.813327,1.021053,False,False,False,False
train,NLA_404245748EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_404245748EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_404245748EDR_F0050104NCAM00323M1.png,1,5463,392,285,90,69,438.257185,320.046129,1.304348,False,False,False,False
train,NLA_404245748EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_404245748EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_404245748EDR_F0050104NCAM00323M1.png,2,70,477,347,13,13,484.142857,354.828571,1.0,False,False,False,False
train,NLA_404405935EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_404405935EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_404405935EDR_F0050104NCAM00323M1.png,1,1196,227,41,101,22,268.704849,50.471572,4.590909,False,False,False,True
train,NLA_404405935EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_404405935EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_404405935EDR_F0050104NCAM00323M1.png,2,2052,180,62,149,19,251.361598,70.584308,7.842105,False,False,False,True
train,NLA_404405935EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_404405935EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_404405935EDR_F0050104NCAM00323M1.png,3,64,452,286,26,13,463.15625,291.5,2.0,False,True,False,False
train,NLA_404405935EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_404405935EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_404405935EDR_F0050104NCAM00323M1.png,4,4,447,290,4,4,448.5,291.5,1.0,False,True,False,False
train,NLA_404405935EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_404405935EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_404405935EDR_F0050104NCAM00323M1.png,5,1,442,297,1,1,442.0,297.0,1.0,False,True,False,False
train,NLA_404405935EDR_F0050104NCAM00323M1,F0050104NCAM00323M1,msl/ncam/images/edr/NLA_404405935EDR_F0050104NCAM00323M1.JPG,msl/ncam/labels/train/NLA_404405935EDR_F0050104NCAM00323M1.png,6,33,417,342,4,10,418.272727,346.545455,0.4,False,True,False,False
train,NLA_402736771EDR_F0050104NCAM00449M1,F0050104NCAM00449M1,msl/ncam/images/edr/NLA_402736771EDR_F0050104NCAM00449M1.JPG,msl/ncam/labels/train/NLA_402736771EDR_F0050104NCAM00449M1.png,1,7879,532,461,101,130,581.216144,531.729661,0.776923,False,False,False,False
train,NLA_402736771EDR_F0050104NCAM00449M1,F0050104NCAM00449M1,msl/ncam/images/edr/NLA_402736771EDR_F0050104NCAM00449M1.JPG,msl/ncam/labels/train/NLA_402736771EDR_F0050104NCAM00449M1.png,2,5884,445,554,101,102,495.300986,609.454623,0.990196,False,False,False,False
train,NLA_402736799EDR_F0050104NCAM00449M1,F0050104NCAM00449M1,msl/ncam/images/edr/NLA_402736799EDR_F0050104NCAM00449M1.JPG,msl/ncam/labels/train/NLA_402736799EDR_F0050104NCAM00449M1.png,1,21950,335,283,357,227,510.918633,354.22533,1.572687,False,False,False,False
train,NLA_402736799EDR_F0050104NCAM00449M1,F0050104NCAM00449M1,msl/ncam/images/edr/NLA_402736799EDR_F0050104NCAM00449M1.JPG,msl/ncam/labels/train/NLA_402736799EDR_F0050104NCAM00449M1.png,2,42006,586,295,434,151,812.457054,373.890611,2.874172,False,False,False,False
train,NLA_402736799EDR_F0050104NCAM00449M1,F0050104NCAM00449M1,msl/ncam/images/edr/NLA_402736799EDR_F0050104NCAM00449M1.JPG,msl/ncam/labels/train/NLA_402736799EDR_F0050104NCAM00449M1.png,3,1,690,319,1,1,690.0,319.0,1.0,False,True,False,False
train,NLA_402736799EDR_F0050104NCAM00449M1,F0050104NCAM00449M1,msl/ncam/images/edr/NLA_402736799EDR_F0050104NCAM00449M1.JPG,msl/ncam/labels/train/NLA_402736799EDR_F0050104NCAM00449M1.png,4,40,19,580,10,6,23.675,582.475,1.666667,False,True,False,False
train,NLA_402736827EDR_F0050104NCAM00449M1,F0050104NCAM00449M1,msl/ncam/images/edr/NLA_402736827EDR_F0050104NCAM00449M1.JPG,msl/ncam/labels/train/NLA_402736827EDR_F0050104NCAM00449M1.png,1,37724,16,327,354,182,188.169229,405.245732,1.945055,False,False,False,False
train,NLA_402736862EDR_F0050104NCAM00449M1,F0050104NCAM00449M1,msl/ncam/images/edr/NLA_402736862EDR_F0050104NCAM00449M1.JPG,msl/ncam/labels/train/NLA_402736862EDR_F0050104NCAM00449M1.png,1,4909,782,283,80,70,822.796496,315.029538,1.142857,False,False,False,False
train,NLA_402736862EDR_F0050104NCAM00449M1,F0050104NCAM00449M1,msl/ncam/images/edr/NLA_402736862EDR_F0050104NCAM00449M1.JPG,msl/ncam/labels/train/NLA_402736862EDR_F0050104NCAM00449M1.png,2,13397,255,403,220,108,346.932149,459.932522,2.037037,False,False,False,False
train,NLA_402815705EDR_F0050104NCAM00452M1,F0050104NCAM00452M1,msl/ncam/images/edr/NLA_402815705EDR_F0050104NCAM00452M1.JPG,msl/ncam/labels/train/NLA_402815705EDR_F0050104NCAM00452M1.png,1,5290,729,263,195,44,823.658034,286.287524,4.431818,False,False,False,True
train,NLA_402815705EDR_F0050104NCAM00452M1,F0050104NCAM00452M1,msl/ncam/images/edr/NLA_402815705EDR_F0050104NCAM00452M1.JPG,msl/ncam/labels/train/NLA_402815705EDR_F0050104NCAM00452M1.png,2,1,445,319,1,1,445.0,319.0,1.0,False,True,False,False
train,NLA_402815705EDR_F0050104NCAM00452M1,F0050104NCAM00452M1,msl/ncam/images/edr/NLA_402815705EDR_F0050104NCAM00452M1.JPG,msl/ncam/labels/train/NLA_402815705EDR_F0050104NCAM00452M1.png,3,2358,270,320,174,67,353.301527,355.371925,2.597015,False,False,False,False
train,NLA_402815705EDR_F0050104NCAM00452M1,F0050104NCAM00452M1,msl/ncam/images/edr/NLA_402815705EDR_F0050104NCAM00452M1.JPG,msl/ncam/labels/train/NLA_402815705EDR_F0050104NCAM00452M1.png,4,1,302,387,1,1,302.0,387.0,1.0,False,True,False,False
train,NLA_402815705EDR_F0050104NCAM00452M1,F0050104NCAM00452M1,msl/ncam/images/edr/NLA_402815705EDR_F0050104NCAM00452M1.JPG,msl/ncam/labels/train/NLA_402815705EDR_F0050104NCAM00452M1.png,5,1,300,388,1,1,300.0,388.0,1.0,False,True,False,False
train,NLA_402815705EDR_F0050104NCAM00452M1,F0050104NCAM00452M1,msl/ncam/images/edr/NLA_402815705EDR_F0050104NCAM00452M1.JPG,msl/ncam/labels/train/NLA_402815705EDR_F0050104NCAM00452M1.png,6,1,295,390,1,1,295.0,390.0,1.0,False,True,False,False
train,NLA_403797280EDR_F0050104NCAM00526M1,F0050104NCAM00526M1,msl/ncam/images/edr/NLA_403797280EDR_F0050104NCAM00526M1.JPG,msl/ncam/labels/train/NLA_403797280EDR_F0050104NCAM00526M1.png,1,1,181,115,1,1,181.0,115.0,1.0,False,True,False,False
train,NLA_403797280EDR_F0050104NCAM00526M1,F0050104NCAM00526M1,msl/ncam/images/edr/NLA_403797280EDR_F0050104NCAM00526M1.JPG,msl/ncam/labels/train/NLA_403797280EDR_F0050104NCAM00526M1.png,2,5804,86,116,138,78,172.373191,147.981737,1.769231,False,False,False,False
train,NLA_406377600EDR_F0050178NCAM00337M1,F0050178NCAM00337M1,msl/ncam/images/edr/NLA_406377600EDR_F0050178NCAM00337M1.JPG,msl/ncam/labels/train/NLA_406377600EDR_F0050178NCAM00337M1.png,1,5,810,5,5,1,812.0,5.0,5.0,False,True,False,True
train,NLA_406377600EDR_F0050178NCAM00337M1,F0050178NCAM00337M1,msl/ncam/images/edr/NLA_406377600EDR_F0050178NCAM00337M1.JPG,msl/ncam/labels/train/NLA_406377600EDR_F0050178NCAM00337M1.png,2,459,780,7,48,16,807.117647,16.437908,3.0,False,False,False,False
train,NLA_406550876EDR_F0050202NCAM00453M1,F0050202NCAM00453M1,msl/ncam/images/edr/NLA_406550876EDR_F0050202NCAM00453M1.JPG,msl/ncam/labels/train/NLA_406550876EDR_F0050202NCAM00453M1.png,1,7496,772,116,137,103,851.556163,167.781617,1.330097,False,False,False,False
train,NLA_406558630EDR_F0050388NCAM00409M1,F0050388NCAM00409M1,msl/ncam/images/edr/NLA_406558630EDR_F0050388NCAM00409M1.JPG,msl/ncam/labels/train/NLA_406558630EDR_F0050388NCAM00409M1.png,1,1453,68,287,141,34,130.470062,306.971094,4.147059,False,False,False,True
train,NLA_407351345EDR_F0050406NCAM00340M1,F0050406NCAM00340M1,msl/ncam/images/edr/NLA_407351345EDR_F0050406NCAM00340M1.JPG,msl/ncam/labels/train/NLA_407351345EDR_F0050406NCAM00340M1.png,1,2263,536,273,87,52,583.248785,297.849315,1.673077,False,False,False,False
train,NLA_407351345EDR_F0050406NCAM00340M1,F0050406NCAM00340M1,msl/ncam/images/edr/NLA_407351345EDR_F0050406NCAM00340M1.JPG,msl/ncam/labels/train/NLA_407351345EDR_F0050406NCAM00340M1.png,2,340,487,318,38,16,503.576471,326.355882,2.375,False,False,False,False
train,NLA_407351345EDR_F0050406NCAM00340M1,F0050406NCAM00340M1,msl/ncam/images/edr/NLA_407351345EDR_F0050406NCAM00340M1.JPG,msl/ncam/labels/train/NLA_407351345EDR_F0050406NCAM00340M1.png,3,18196,73,503,229,119,191.925423,561.137778,1.92437,False,False,False,False
train,NLA_407354143EDR_F0050432NCAM00342M1,F0050432NCAM00342M1,msl/ncam/images/edr/NLA_407354143EDR_F0050432NCAM00342M1.JPG,msl/ncam/labels/train/NLA_407354143EDR_F0050432NCAM00342M1.png,1,65,30,558,19,8,39.061538,561.061538,2.375,False,False,False,False
train,NLA_407354188EDR_F0050432NCAM05704M1,F0050432NCAM05704M1,msl/ncam/images/edr/NLA_407354188EDR_F0050432NCAM05704M1.JPG,msl/ncam/labels/train/NLA_407354188EDR_F0050432NCAM05704M1.png,1,3538,453,374,80,90,488.885246,405.040984,0.888889,False,False,False,False
train,NLA_407536781EDR_F0050432NCAM07753M1,F0050432NCAM07753M1,msl/ncam/images/edr/NLA_407536781EDR_F0050432NCAM07753M1.JPG,msl/ncam/labels/train/NLA_407536781EDR_F0050432NCAM07753M1.png,1,403,737,383,39,20,758.816377,392.727047,1.95,False,False,False,False
train,NLA_407975482EDR_F0050432NCAM07814M1,F0050432NCAM07814M1,msl/ncam/images/edr/NLA_407975482EDR_F0050432NCAM07814M1.JPG,msl/ncam/labels/train/NLA_407975482EDR_F0050432NCAM07814M1.png,1,3708,203,361,106,54,256.692017,386.480583,1.962963,False,False,False,False
train,NLA_407975482EDR_F0050432NCAM07814M1,F0050432NCAM07814M1,msl/ncam/images/edr/NLA_407975482EDR_F0050432NCAM07814M1.JPG,msl/ncam/labels/train/NLA_407975482EDR_F0050432NCAM07814M1.png,2,2094,369,400,99,41,417.499045,418.755969,2.414634,False,False,False,False
train,NLA_407975708EDR_F0050432NCAM07814M1,F0050432NCAM07814M1,msl/ncam/images/edr/NLA_407975708EDR_F0050432NCAM07814M1.JPG,msl/ncam/labels/train/NLA_407975708EDR_F0050432NCAM07814M1.png,1,879,431,334,113,50,488.665529,358.675768,2.26,False,False,False,False
train,NLA_407975708EDR_F0050432NCAM07814M1,F0050432NCAM07814M1,msl/ncam/images/edr/NLA_407975708EDR_F0050432NCAM07814M1.JPG,msl/ncam/labels/train/NLA_407975708EDR_F0050432NCAM07814M1.png,2,2,564,378,2,1,564.5,378.0,2.0,False,True,False,False
train,NLA_407975708EDR_F0050432NCAM07814M1,F0050432NCAM07814M1,msl/ncam/images/edr/NLA_407975708EDR_F0050432NCAM07814M1.JPG,msl/ncam/labels/train/NLA_407975708EDR_F0050432NCAM07814M1.png,3,2,567,379,2,1,567.5,379.0,2.0,False,True,False,False
train,NLA_407975708EDR_F0050432NCAM07814M1,F0050432NCAM07814M1,msl/ncam/images/edr/NLA_407975708EDR_F0050432NCAM07814M1.JPG,msl/ncam/labels/train/NLA_407975708EDR_F0050432NCAM07814M1.png,4,8945,556,380,91,194,593.058804,476.559195,0.469072,False,False,False,False
train,NLA_407975708EDR_F0050432NCAM07814M1,F0050432NCAM07814M1,msl/ncam/images/edr/NLA_407975708EDR_F0050432NCAM07814M1.JPG,msl/ncam/labels/train/NLA_407975708EDR_F0050432NCAM07814M1.png,5,118,632,546,15,25,639.805085,561.177966,0.6,False,False,False,False
train,NLA_408145754EDR_F0050624NCAM00454M1,F0050624NCAM00454M1,msl/ncam/images/edr/NLA_408145754EDR_F0050624NCAM00454M1.JPG,msl/ncam/labels/train/NLA_408145754EDR_F0050624NCAM00454M1.png,1,249,179,245,75,4,212.718876,246.771084,18.75,False,False,False,True
train,NLA_408156417EDR_F0050742NCAM00215M1,F0050742NCAM00215M1,msl/ncam/images/edr/NLA_408156417EDR_F0050742NCAM00215M1.JPG,msl/ncam/labels/train/NLA_408156417EDR_F0050742NCAM00215M1.png,1,250,330,379,48,20,357.932,387.476,2.4,False,False,False,False
train,NLA_408238743EDR_F0050754NCAM00344M1,F0050754NCAM00344M1,msl/ncam/images/edr/NLA_408238743EDR_F0050754NCAM00344M1.JPG,msl/ncam/labels/train/NLA_408238743EDR_F0050754NCAM00344M1.png,1,717,492,243,251,6,630.429568,245.005579,41.833333,False,False,False,True
train,NLA_408238743EDR_F0050754NCAM00344M1,F0050754NCAM00344M1,msl/ncam/images/edr/NLA_408238743EDR_F0050754NCAM00344M1.JPG,msl/ncam/labels/train/NLA_408238743EDR_F0050754NCAM00344M1.png,2,31,32,245,8,6,36.387097,246.774194,1.333333,False,True,False,False
train,NLA_408238743EDR_F0050754NCAM00344M1,F0050754NCAM00344M1,msl/ncam/images/edr/NLA_408238743EDR_F0050754NCAM00344M1.JPG,msl/ncam/labels/train/NLA_408238743EDR_F0050754NCAM00344M1.png,3,5,744,249,5,1,746.0,249.0,5.0,False,True,False,True
train,NLA_408331684EDR_F0050938NCAM00218M1,F0050938NCAM00218M1,msl/ncam/images/edr/NLA_408331684EDR_F0050938NCAM00218M1.JPG,msl/ncam/labels/train/NLA_408331684EDR_F0050938NCAM00218M1.png,1,330,506,215,25,21,520.178788,224.163636,1.190476,False,False,False,False
train,NLA_408331426EDR_F0050938NCAM05134M1,F0050938NCAM05134M1,msl/ncam/images/edr/NLA_408331426EDR_F0050938NCAM05134M1.JPG,msl/ncam/labels/train/NLA_408331426EDR_F0050938NCAM05134M1.png,1,1860,553,405,62,48,578.524731,425.156989,1.291667,False,False,False,False
train,NLA_408331426EDR_F0050938NCAM05134M1,F0050938NCAM05134M1,msl/ncam/images/edr/NLA_408331426EDR_F0050938NCAM05134M1.JPG,msl/ncam/labels/train/NLA_408331426EDR_F0050938NCAM05134M1.png,2,3508,392,427,78,70,433.139966,464.895097,1.114286,False,False,False,False
train,NLA_408420207EDR_F0051070NCAM00218M1,F0051070NCAM00218M1,msl/ncam/images/edr/NLA_408420207EDR_F0051070NCAM00218M1.JPG,msl/ncam/labels/train/NLA_408420207EDR_F0051070NCAM00218M1.png,1,4638,412,285,116,47,471.40276,309.830746,2.468085,False,False,False,False
train,NLA_408420242EDR_F0051070NCAM00218M1,F0051070NCAM00218M1,msl/ncam/images/edr/NLA_408420242EDR_F0051070NCAM00218M1.JPG,msl/ncam/labels/train/NLA_408420242EDR_F0051070NCAM00218M1.png,1,4041,12,163,92,68,53.01361,202.572136,1.352941,False,False,False,False
